,UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
24,Kenston,@ulisesvm0,2021-01-01T03:42:43.000Z,"Kenston
@ulisesvm0
¶ú
31 dic. 2020","¶¨Quien iba a pensar que un Puente por el natalicio de Benito JuÇ­rez nos durarÇğa hasta AÇño Nuevo para recibir el 2021? Pero bueno.

Feliz AÇño Nuevo Banda. ",Ğ?Ïÿ ƒÏ,,5,46,[],https://twitter.com/ulisesvm0/status/1344851521964552192
25,Marlene,@ExiTri,2021-01-01T12:41:18.000Z,"Marlene
@ExiTri
¶ú
1 ene. 2021",#Patricia Juarez Formas parte del peor lumpen destructor del paÇğs!!!Master en CORRUPCIÇ?N de la Escuela Naranja!!!,,1,11,33,[],https://twitter.com/ExiTri/status/1344987062299201536
26,Alejandro Rosas,@arr1910,2021-01-02T15:58:30.000Z,"Alejandro Rosas
@arr1910
¶ú
2 ene. 2021","Hace 150 aÇños muriÇü Margarita Maza, esposa de Benito JuÇ­rez. Recuerdo de gloria y sepulcro de honor para ella.",,12,64,409,[],https://twitter.com/arr1910/status/1345399076750204929
27,COBAEM,@COBAEMex,2021-01-02T16:05:00.000Z,"COBAEM
@COBAEMex
¶ú
2 ene. 2021","#UnDiaComoHoy 

1871. MuriÇü Margarita Maza, esposa del Presidente Benito JuÇ­rez.
1902. El Presidente Porfirio DÇğaz colocÇü la primera piedra del monumento a la Independencia.

#EfemÇ¸rides #EfemÇ¸rideDelDÇğa",,,39,53,[],https://twitter.com/COBAEMex/status/1345400710297505793
28,Historia de Veracruz,@Historia_Ver,2021-01-03T03:21:00.000Z,"Historia de Veracruz
@Historia_Ver
¶ú
2 ene. 2021","Muelle. #Veracruz  (Ca. 1920).
Bella estampa tomada desde el muelle Fiscal. Al fondo, el entonces faro ""Benito Juarez"" (hoy faro Venustiano Carranza) en el edificio del Primer Distrito de Faros. En seguida, los almacenes de Sanidad y junto a estos, el kiosko de la AtlÇ­ntida.",Ğ???,1,36,121,[],https://twitter.com/Historia_Ver/status/1345570830382735365
29,AndrÇ¸s GuzmÇ­n,@AndresGuzBJ,2021-01-03T00:56:56.000Z,"AndrÇ¸s GuzmÇ­n
@AndresGuzBJ
¶ú
2 ene. 2021","Al retorno de Benito JuÇ­rez a Palacio Nacional en julio de 1867, se celebrÇü su triunfo mediante la colocaciÇün de una estatua que simbolizaba la Victoria. La foto es de FranÇõois Aubert en 1867 y el sitio es el centro de la plaza, mismo que",,5,29,145,[],https://twitter.com/AndresGuzBJ/status/1345534576777711617
30,Miguel,@arquicleto,2021-01-04T18:56:27.000Z,"Miguel
@arquicleto
¶ú
4 ene. 2021","Buenas tardes  
@UCS_GCDMX
  solicito apoyo vial para retirar vehÇğculo sobre paso y rampa peatonal en la esquina de las calles Av. Santiago  esquina Sucre colonia Moderna, Benito JuÇ­rez AlcaldÇğa. A una cuadra de p. ElÇğas calles Muchas gracias. Ese taller es asiduo en esa prÇ­ctica.",,3,3,8,[],https://twitter.com/arquicleto/status/1346168634717167622
31,El general Zapatos,@GralZapatos,2021-01-04T03:56:25.000Z,"El general Zapatos
@GralZapatos
¶ú
3 ene. 2021","ƒ??Dentro de la revoluciÇün todo, contra la revoluciÇün nadaƒ?
-Fidel Castro

ƒ??Todo en el estado, nada contra el estadoƒ?
-Benito Mussolini

ƒ??Fidel Castro estÇ­ a la altura de Nelson Mandelaƒ?
-AMLO

ƒ??Benito Mussolini se llamaba asÇğ por JuÇ­rezƒ?
-AMLO

Benito Fidel LÇüpez Castro.",,2,3,16,[],https://twitter.com/GralZapatos/status/1345942134730403840
32,Aurora GÇümez,@auroraggf,2021-01-05T04:22:30.000Z,"Aurora GÇümez
@auroraggf
¶ú
4 ene. 2021","En la 4T nadie va a Huatulco o a CancÇ§n, van a los municipios de Pochutla y Benito JuÇ­rez. Me recuerdan a los que van a la cantina que se llama ƒ??Mi Oficinaƒ?.",,6,21,144,[],https://twitter.com/auroraggf/status/1346311083078909952
33,,@teteshoot,2021-01-05T07:48:43.000Z,"@teteshoot
¶ú
5 ene. 2021",si bangtan confirma fechas en MÇ¸xico q no les sorprenda si mis prÇüximos tweets son de q: 100% mexicana benito Juarez mi varÇün,,10,21,112,[],https://twitter.com/teteshoot/status/1346362980422840321
