,UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
4301,PolÇğtico MX,@politicomx,2021-06-12T12:14:12.000Z,"PolÇğtico MX
@politicomx
¶ú
12 jun. 2021","Abraham VÇ­zquez Piceno, integrante del grupo de ayudantÇğa de AMLO, es ahora titular de las becas a estudiantes Benito JuÇ­rez, por lo cual recibirÇğa un sueldo bruto mensual de 154 mil pesos. https://politico.mx/_/uqQ",,3,9,6,['https://pbs.twimg.com/media/E3rl8gFXoAY6g3B?format=jpg&name=small'],https://twitter.com/politicomx/status/1403687074499334151
4302,W Radio MÇ¸xico,@WRADIOMexico,2021-06-12T00:45:50.000Z,"W Radio MÇ¸xico
@WRADIOMexico
¶ú
11 jun. 2021","Se trata de alumnos de escuelas tanto pÇ§blicas como privadas de las alcaldÇğas TlÇ­huac,  Gustavo A. Madero  y Benito JuÇ­rez  https://bit.ly/3ggdqGr",,1,2,10,[],https://twitter.com/WRADIOMexico/status/1403513843360452611
4303,REFORMA Nacional,@reformanacional,2021-06-12T22:50:11.000Z,"REFORMA Nacional
@reformanacional
¶ú
12 jun. 2021","El antiguo aviÇün presidencial ""Benito JuÇ­rez"", subastado en 65 mdp, repatriÇü a turistas atacados y lo usaron de emergencia cuando TPO1 fallÇü en Nueva York con PeÇña. AquÇğ te contamos",,2,3,11,[],https://twitter.com/reformanacional/status/1403847125948108803
4304,ExpansiÇün PolÇğtica,@ExpPolitica,2021-06-12T12:01:00.000Z,"ExpansiÇün PolÇğtica
@ExpPolitica
¶ú
12 jun. 2021","Las alcaldÇğas afectadas durante los trabajos en el Cutzamala serÇ­n: Çlvaro ObregÇün, Azcapotzalco, CuauhtÇ¸moc, Benito JuÇ­rez, CoyoacÇ­n, Cuajimalpa, CuauhtÇ¸moc, Iztacalco, Iztapalapa, Magdalena Contreras, Miguel Hidalgo, Tlalpan y Venustiano Carranza",,,4,4,['https://pbs.twimg.com/card_img/1647381042544640002/ivA86nOk?format=jpg&name=small'],https://twitter.com/ExpPolitica/status/1403683751834669062
4305,El Sol de MÇ¸xico,@elsolde_mexico,2021-06-12T23:20:00.000Z,"El Sol de MÇ¸xico
@elsolde_mexico
¶ú
12 jun. 2021","Se confirma el tercer positivo a #COVIDÆŸ¬19 en alumnos de #CDMX

El segundo caso sospechoso del colegio particular en la alcaldÇğa Benito JuÇ­rez resultÇü negativo

Detalles 
https://bit.ly/3cD03Ok",Ğ???,2,2,3,[],https://twitter.com/elsolde_mexico/status/1403854627674726401
4306,@diario24horas,@diario24horas,2021-06-12T00:00:01.000Z,"@diario24horas
@diario24horas
¶ú
11 jun. 2021","¶­El antiguo aviÇün presidencial ƒ??Benito JuÇ­rezƒ? fue vendido por cerca de 65 mdp!. El 
@IndepOficialMex
 refiriÇü que la aeronave marca Boeing Company modelo 757-225, estuvo en subasta con dos mÇ­s que formaban parte de la flota de la FAM.",,,2,4,[],https://twitter.com/diario24horas/status/1403502309787803649
4307,elizabeth ruiz,@eracancun,2021-06-13T02:27:37.000Z,"elizabeth ruiz
@eracancun
¶ú
12 jun. 2021",Sargazo en playa marlin de #cancun  #sargazo  #fotoperiodista  #cancunmexico  #turismo  #reddemonitoreodesargazo  #fotodeldia  Ayuntamiento de Benito JuÇ­rez  #trabajadores,,1,2,1,"['https://pbs.twimg.com/media/E3upQOwWYAIsoaH?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E3upQupWUAIAEyr?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E3upRqxWQAEJn0i?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E3upSSjXwAYxOkW?format=jpg&name=360x360']",https://twitter.com/eracancun/status/1403901843797852160
4308,Laura Elisa #YoDefiendoAlINAI,@Laueliperavi,2021-06-13T00:40:27.000Z,"Laura Elisa #YoDefiendoAlINAI
@Laueliperavi
¶ú
12 jun. 2021","LÇüpez dice que es malo tener aspiraciones, pero en una maÇñanera puso a Benito Bodoque, un gatito arrabalero que sueÇña con ser alcalde. LÇüpez quiere lograr por medio de montajes, como hizo B. Bodoque, convertirse en Benito JuÇ­rez, como bien dijo 
@econokafka
 a principios de aÇño.",,5,35,110,['https://pbs.twimg.com/media/E3uQkp4WEAIszzY?format=png&name=small'],https://twitter.com/Laueliperavi/status/1403874874997805062
4309,CÇ¸sar Morales NiÇño,@cesarmoralesn,2021-06-13T14:45:55.000Z,"CÇ¸sar Morales NiÇño
@cesarmoralesn
¶ú
13 jun. 2021","¶­Excelente domingo!

DisfrÇ§talo en familia.

Un dÇğa como hoy el presidente Benito JuÇ­rez, cÇümo parte de las leyes de reforma, declara propiedad nacional todos los bienes de la Iglesia catÇülica.

Por favor cuÇğdate mucho.",,,2,4,['https://pbs.twimg.com/media/E3xSRF8XMAItwQN?format=jpg&name=small'],https://twitter.com/cesarmoralesn/status/1404087644611547139
4310,Jose Mieses S,@MiesesJose,2021-06-13T20:40:37.000Z,"Jose Mieses S
@MiesesJose
¶ú
13 jun. 2021","En respuesta a 
@DuniaDW2
 y 
@celciaalvarez",,3,,3,[],https://twitter.com/MiesesJose/status/1404176904568066048
