,UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
12837,carlos buburr€n,@CBuburron,2022-04-01T21:28:20.000Z,"carlos buburr€n
@CBuburron
ô£
1 abr. 2022","Francia, Inglaterra y Espa€¤a cuando Benito Ju€ğrez suspendi€ los pagos:",,7,119,1.622,[],https://twitter.com/CBuburron/status/1510006170030944260
12838,Mal,@rado_ml,2022-04-01T15:31:33.000Z,"Mal
@rado_ml
ô£
1 abr. 2022","Sierra Norte de Oaxaca,  puente colgante de Benito Ju€ğrez,  a 3,200 mts de altitud.",,3,5,11,[],https://twitter.com/rado_ml/status/1509916385979342875
12839,Ale,@ale_delack,2022-04-02T23:59:50.000Z,"Ale
@ale_delack
ô£
2 abr. 2022",En la Benito Ju€ğrez huele muy cabron a quemado y se ve bruma. ,Ñ???,5,11,21,[],https://twitter.com/ale_delack/status/1510406684946141185
12840,Pumas Futbol 1954,@pumasfutbol1954,2022-04-02T21:20:12.000Z,"Pumas Futbol 1954
@pumasfutbol1954
ô£
2 abr. 2022","HOY JUEGA PUMAS! 
Bravos Vs Pumas 
Ol€Ğmpico Benito Ju€ğrez
21:00 hrs 
TUDN | TV Azteca 
GOOOOOOOOOOOOOOOYA! #SoyDePumas",Ÿ?® Ñ?? Ÿ¤ Ñ??ó,,2,5,[],https://twitter.com/pumasfutbol1954/status/1510366514511241219
12841,Abraham Mendieta,@abrahamendieta,2022-04-03T03:52:08.000Z,"Abraham Mendieta
@abrahamendieta
ô£
2 abr. 2022",ôğQu€÷ alegr€Ğa ver a los vecinos de la alcald€Ğa Benito Ju€ğrez tan comprometidos con la Reforma El€÷ctrica!,,115,1.065,3.806,[],https://twitter.com/abrahamendieta/status/1510465145847304192
12842,Cam Mart€Ğnez,@CamMttz,2022-04-03T03:43:42.000Z,"Cam Mart€Ğnez
@CamMttz
ô£
2 abr. 2022","Maravilloso evento se vivi€ hoy en la Benito Ju€ğrez, cientos y cientos de personas reunidas por la Cuarta Transformaci€n. 

ôğôğClaro que somos muchas las personas que estamos con la Reforma El€÷ctrica y somos muchas y muchos quienes saldremos a votar este 10 de abril!!",,208,706,2.272,[],https://twitter.com/CamMttz/status/1510463022980124674
12843,Sabina Berman,@sabinaberman,2022-04-04T03:58:31.000Z,"Sabina Berman
@sabinaberman
ô£
3 abr. 2022",Pues con la noticia que de mi casa al nuevo aeropuerto hice 28 minutos. La tercera parte de lo que suelo hacer al aeropuerto Benito Ju€ğrez.,,2.206,1.066,4.582,[],https://twitter.com/sabinaberman/status/1510829141330907140
12844,Armando Baez 1,@Armando82198079,2022-04-04T02:01:41.000Z,"Armando Baez 1
@Armando82198079
ô£
3 abr. 2022","Y lo peor, ser€ğn egresados de las universidades patito Ÿ??Benito Ju€ğrezŸ?

Imagen recibida por whatsapp",,4,16,31,[],https://twitter.com/Armando82198079/status/1510799737217241090
12845,Irene Barcenas,@barcenairene,2022-04-05T03:24:56.000Z,"Irene Barcenas
@barcenairene
ô£
4 abr. 2022","Tarjeta de presentaci€n de Benito
Ju€ğrez.
Imagen de 1860.",,5,26,222,[],https://twitter.com/barcenairene/status/1511183076461842435
12846,Mara Lezama,@MaraLezama,2022-04-05T02:18:10.000Z,"Mara Lezama
@MaraLezama
ô£
4 abr. 2022","En Benito Ju€ğrez demostramos que s€Ğ se puede gobernar con austeridad y poner siempre por encima, los intereses del pueblo. Ahora vamos a consolidar la transformaci€n en todo #QuintanaRoo, ôğle duela quien le duela! #QueSigaLaEsperanza",,31,61,158,['https://pbs.twimg.com/ext_tw_video_thumb/1511166215955402756/pu/img/R_WexMhphZsK4NKk.jpg'],https://twitter.com/MaraLezama/status/1511166273761255429
