,UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
8610,Rayados,@Rayados,2021-10-01T16:12:34.000Z,"Rayados
@Rayados
∂˙
1 oct. 2021","| ∂≠Hoy hay futbol! ∂≠–ùê?–ùê˘–ùê˝ –ùêú–ùê©–ùê?–ùêˇ–ùê? –ùê?–ùêæ –ùê?–ùê˘–ùêı–ùê–ùê?–ùêÆ–ùêÆ–ùê?–ùê˝! 

–ù?ù | –ù?–ù?©
 20 hrs. (JRZ) | 21 hrs (MTY)
 
@fcjuarezoficial
 
 O. Benito Ju«≠rez 
 TUDN 

∂≠–ù??–ù?¨–ù?? –ù?Ê–ù?©–ù?? –ù?Û–ù??–ù?˝ –ù?Ô–ù?©–ù?Ø–ù?©–ù?®, –ù??–ù?¨–ù?? –ù?Ê–ù?©–ù?? –ù?Û–ù??–ù?˝ –ù?Ô–ù?©–ù?Ø–ù?©–ù?® –ù?˚–ù?¨–ù?? #–ù?æ–ù?©–ù??–ù?©–ù?Ò–ù?¨–ù??!

#ArribaElMonterrey ",É?´ –?œˇ É?? –??? –?è? –??ß,16,100,896,['https://pbs.twimg.com/media/FAoD6vIWQAA-mPw?format=jpg&name=small'],https://twitter.com/Rayados/status/1443972116542537732
8611,Guillermo Grinch,@GuillermoBGR,2021-10-01T22:23:02.000Z,"Guillermo Grinch
@GuillermoBGR
∂˙
1 oct. 2021","Me comentan que se inund«¸ la pista 05 Derecha del Benito Ju«≠rez y estimaban dos horas para reapertura. 

Pero dijo el Se«Òor Presidente que no se dej«¸ de invertir en el mantenimiento del AICM; ergo, lo enga«Òaron.",,24,83,161,['https://pbs.twimg.com/media/FApZx1gXsAM91c8?format=jpg&name=small'],https://twitter.com/GuillermoBGR/status/1444065347317948416
8612,Beto,@aespejel25,2021-10-01T19:50:15.000Z,"Beto
@aespejel25
∂˙
1 oct. 2021","Respondiendo a 
@aespejel25
 @ObreraCDMX
 y 4 m«≠s",,1,2,1,['https://pbs.twimg.com/media/FAo2zMPVkAQs1Kh?format=jpg&name=small'],https://twitter.com/aespejel25/status/1444026895205605376
8613,Gabriel Mena,@gabrielmena07,2021-10-01T18:46:56.000Z,"Gabriel Mena
@gabrielmena07
∂˙
1 oct. 2021","Tambi«∏n se entregaron apoyos, para la Escuela Secundaria Benito Ju«≠rez y para la Primaria Jos«∏ Mar«a Morelos y Pav«¸n, en San Jer«¸nimo Zacapexco, #VillaDelCarb«¸n con la finalidad de mejorar las condiciones sanitarias de los alumnos y apoyos alimentarios a sus familias.",,,6,11,"['https://pbs.twimg.com/media/FAooTUEVEAQcN5F?format=jpg&name=small', 'https://pbs.twimg.com/media/FAooTuoVIAEA6Jh?format=jpg&name=small', 'https://pbs.twimg.com/media/FAooT_yVUAQDnp0?format=jpg&name=small', 'https://pbs.twimg.com/media/FAooURoVQAEFpcC?format=jpg&name=small']",https://twitter.com/gabrielmena07/status/1444010963615813643
8614,Aylin «Ålvarez,@Aylinalvarezx,2021-10-01T02:22:57.000Z,"Aylin «Ålvarez
@Aylinalvarezx
∂˙
30 sept. 2021","En 1828, su ciudad natal, Valladolid, recibi«¸ el nombre de Morelia. En 1869, Benito Ju«≠rez decret«¸ la creaci«¸n del Estado que lleva su nombre. De ah« el nombre de nuestro estado É??MorelosÉ?ù  ",–???,1,1,4,[],https://twitter.com/Aylinalvarezx/status/1443763336596787206
8615,Rhaenys R.,@ReynisRosas,2021-10-01T17:56:28.000Z,"Rhaenys R.
@ReynisRosas
∂˙
1 oct. 2021","En respuesta a 
@Hannahlejandra",–??? –???,2,1,9,[],https://twitter.com/ReynisRosas/status/1443998260599959552
8616,Mariana Rivera,@MarianaRiveraMX,2021-10-01T23:56:22.000Z,"Mariana Rivera
@MarianaRiveraMX
∂˙
1 oct. 2021","El d«a de hoy tome protesta como Concejal en la Alcald«a de Benito Ju«≠rez.
Con mucho entusiasmo inici«¸ este nuevo proyecto en el que mediante el di«≠logo constructivo y propositivo trabajar«∏ para las y los ciudadanos de la demarcaci«¸n #LoPodemosMejorar",,3,1,16,"['https://pbs.twimg.com/media/FApvIr9XMAceTaw?format=jpg&name=360x360', 'https://pbs.twimg.com/media/FApvIr7XMA0UCmL?format=jpg&name=360x360', 'https://pbs.twimg.com/media/FApvIr8WUAAH_zO?format=jpg&name=small', 'https://pbs.twimg.com/media/FApvIr7XMA4BaE4?format=jpg&name=360x360']",https://twitter.com/MarianaRiveraMX/status/1444088834652770304
8617,*LA VOZ DEL CIUDADANO*,@piazza_alfredo,2021-10-01T03:54:03.000Z,"*LA VOZ DEL CIUDADANO*
@piazza_alfredo
∂˙
30 sept. 2021",Susana Moura - Excepcional pintora de Benito Ju«≠rez / Laprida.,,1,2,5,['https://pbs.twimg.com/media/FAlb7-iWUAEn_tc?format=jpg&name=small'],https://twitter.com/piazza_alfredo/status/1443786261655920644
8618,–ù?¯–ù??–ù??–ù??–ù??–ù?Û–ù?ı–ù??–ù?ˇ–ù??–ù?™–ù?Ω,@QuiqueTamayoMX,2021-10-01T16:54:49.000Z,"–ù?¯–ù??–ù??–ù??–ù??–ù?Û–ù?ı–ù??–ù?ˇ–ù??–ù?™–ù?Ω
@QuiqueTamayoMX
∂˙
1 oct. 2021","Hoy tomo protesta como Concejal en Benito Ju«≠rez, y hoy que empiezo una de las etapas m«≠s importantes de mi vida, coincide que sea el aniversario luctuoso del Maqu«o. Fue con «∏l, con quien tuve mis primeras participaciones en pol«tica.  1/4",–??¸,10,10,41,['https://pbs.twimg.com/media/FAoOp5lXIAAev_7?format=jpg&name=small'],https://twitter.com/QuiqueTamayoMX/status/1443982745378725888
8619,(Coti)diana,@CotiDiana19,2021-10-01T18:44:11.000Z,"(Coti)diana
@CotiDiana19
∂˙
1 oct. 2021",Hoy le ense«Ò«∏ a unas chavas espa«Òolas un billete de 20 pesos y la reacci«¸n de una de ellas fue: ay mira qu«∏ guapo (refiri«∏ndose a Benito Ju«≠rez) Jajaj bien lindas ,,1,,6,[],https://twitter.com/CotiDiana19/status/1444010269194301445
